Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 2] Step 7520 | Triplet: 0.0931 | Domain: 2.0879 | Total: 2.1810
[Epoch 2] Step 7560 | Triplet: 0.2011 | Domain: 2.0078 | Total: 2.2090
[Epoch 2] Step 7600 | Triplet: 0.2652 | Domain: 2.0684 | Total: 2.3335
[Epoch 2] Step 7640 | Triplet: 0.2481 | Domain: 2.1777 | Total: 2.4258
[Epoch 2] Step 7680 | Triplet: 0.1060 | Domain: 1.9111 | Total: 2.0171
[Epoch 2] Step 7720 | Triplet: 0.1455 | Domain: 2.1133 | Total: 2.2588
[Epoch 2] Step 7760 | Triplet: 0.2402 | Domain: 2.1973 | Total: 2.4374
[Epoch 2] Step 7800 | Triplet: 0.1629 | Domain: 1.9541 | Total: 2.1170
[Epoch 2] Step 7840 | Triplet: 0.2711 | Domain: 2.0684 | Total: 2.3395
[Epoch 2] Step 7880 | Triplet: 0.2464 | Domain: 2.0586 | Total: 2.3050
[Epoch 2] Step 7920 | Triplet: 0.1442 | Domain: 1.7217 | Total: 1.8659
[Epoch 2] Step 7960 | Triplet: 0.2237 | Domain: 2.0176 | Total: 2.2413
[Epoch 2] Step 8000 | Triplet: 0.1370 | Domain: 1.9102 | Total: 2.0471
[Epoch 2] Step 8040 | Triplet: 0.1304 | Domain: 2.1328 | Total: 2.2632
[Epoch 2] Step 8080 | Triplet: 0.2269 | Domain: 1.8438 | Total: 2.0706
[Epoch 2] Step 8120 | Triplet: 0.3228 | Domain: 1.7090 | Total: 2.0318
[Epoch 2] Step 8160 | Triplet: 0.2558 | Domain: 2.1094 | Total: 2.3651
[Epoch 2] Step 8200 | Triplet: 0.2557 | Domain: 1.7998 | Total: 2.0556
[Epoch 2] Step 8240 | Triplet: 0.1710 | Domain: 2.0566 | Total: 2.2277
[Epoch 2] Step 8280 | Triplet: 0.0000 | Domain: 2.1250 | Total: 2.1250
[Epoch 2] Step 8320 | Triplet: 0.2444 | Domain: 2.0254 | Total: 2.2698
[Epoch 2] Step 8360 | Triplet: 0.2309 | Domain: 2.0215 | Total: 2.2524
[Epoch 2] Step 8400 | Triplet: 0.2033 | Domain: 2.0176 | Total: 2.2208
[Epoch 2] Step 8440 | Triplet: 0.2296 | Domain: 1.6670 | Total: 1.8966
[Epoch 2] Step 8480 | Triplet: 0.1586 | Domain: 1.8252 | Total: 1.9838
[Epoch 2] Step 8520 | Triplet: 0.2038 | Domain: 2.0117 | Total: 2.2155
[Epoch 2] Step 8560 | Triplet: 0.1778 | Domain: 2.0312 | Total: 2.2091
[Epoch 2] Step 8600 | Triplet: 0.1857 | Domain: 2.0137 | Total: 2.1994
[Train] Best F1 = 0.7379 at threshold 1.263969 (rule: 'score >= threshold -> machine')
Done.
